Navn;Navn Detaljeret;Adresse;Telefon;Email;Hjemmeside;Kommune;Region;Facilitetstype;Placering;Ejerforhold;Driftsherre;Eksterne bemærkninger;Gis X;Gis Y;UTM;Antal baner
Kildevældsskolen;Ny gymnastiksal B;Bellmansgade 5a, 2100 København Ø;33173131;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;724196;6180142;32N;
Kirkebjerg Skole;Gymnastiksal 2;Vanløsehøj 4, 2720 Vanløse;3366 1440;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718869;6177785;32N;
Kirkebjerg Skole;Gymnastiksal 3;Vanløsehøj 4, 2720 Vanløse;3366 1440;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718869;6177785;32N;
Kirkebjerg Skole;Idrætshal;Vanløsehøj 4, 2720 Vanløse;3367 1440;;https://kk.halbooking.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;Størrelse: 19 x 25 x 8 m;718869;6177785;32N;
Kirsebærhavens Skole;Gymnastiksal A;Kirsebærhaven 23-25, 2500 Valby;33178232;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720416;6172609;32N;
Kirsebærhavens Skole;Gymnastiksal B;Kirsebærhaven 23-25, 2500 Valby;33178232;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720416;6172609;32N;
Kirsebærhavens Skole;Gymnastiksal C;Kirsebærhaven 23-25, 2500 Valby;33178232;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720416;6172609;32N;
Kirsebærhavens Skole ;Svømmehal;Kirsebærhaven 23-25, 2500 Valby;33178232;;https://foreningsportalen.kk.brnd.com;København;Hovedstaden;Svømmeanlæg;Indendørs;Kommunal;Kommunal;Andet svømmebassin;720416;6172609;32N;Andre svømmebassiner=1
Kløvermarkens Idrætsanlæg;;Kløvermarksvej 50, 2300 København S;;kloevermarken@kff.kk.dk;http://klovermarkensidraetsanlaeg.kk.dk/;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;"Etableringsår kunstgræsbane(r): 2003, 2006, 2015

Tre 11-mands-kunstgræsbaner, med optegninger til 7/8-mandsbaner, samt 1 bane med optegning til 5-mandsbaner.";726887;6175510;32N;Naturgræsbaner=18,Kunstgræsbaner=3
Kløvermarkens Tennis Klub;Tennishal;Kløvermarksvej 34, 2300 København S;;ktk@ktk-tennis.dk;http://ktk-tennis.dk/;København;Hovedstaden;Tennisanlæg;Indendørs;Selvejende institution;Selvejende institution;"Tennishal med 3 tennisbaner og 4 squashbaner.

Den selvejende institution Kløvermarkens Tennis og Squashcenter er ejer og driftsherre på anlægget. Den daglige brug og udlejning af tennis- og squashbaner sker gennem lejeaftaler indgået med KTK (Kløvermarkens Tennisklub) og Squashlife, og KTK’s bestyrelse og generalforsamling henholdsvis udpeger og vælger tennis- og squashcentrets bestyrelse.";726700;6175364;32N;Kunststofbaner=3
Kofoeds Skole;Mindre idrætshal;Nyrnberggade 1, 2300 København S;;ks@kofoedsskole.dk;https://realdania.dk/projekter/kofoeds-skole;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Selvejende institution;Selvejende institution;Størrelse: 26 x 17 m;727494;6174966;32N;
Korsager Skole;Gymnastiksal 72;Grevingevej 15, 2700 Brønshøj;;mail@korsager.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718002;6179067;32N;
Korsager Skole;Gymnastiksal 73;Grevingevej 15, 2700 Brønshøj;;mail@korsager.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718002;6179067;32N;
Korsager Skole;Gymnastiksal 74;Grevingevej 15, 2700 Brønshøj;;mail@korsager.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718002;6179067;32N;
Korsgadehallen;Dansesal;Korsgade 29, 2200 København N;;korsgadehallen@kff.kk.dk;http://kulturn.kk.dk/korsgadehallen;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;Projektet Korsgadehallen på Nørrebro er støttet af Lokale- Og Anlægsfonden. Du kan læse mere og se billeder af projektet her: https://www.loa-fonden.dk/projekter/2006/korsgadehallen-paa-noerrebro-i-koebenhavn/;723499;6176836;32N;
Korsgadehallen;Kampsportslokale;Korsgade 29, 2200 København N;;korsgadehallen@kff.kk.dk;http://kulturn.kk.dk/korsgadehallen;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;"Mindre område i enden af idrætshallen, der kan benyttes til gymnastik, kampsport og bevægelse.

---

Projektet Korsgadehallen på Nørrebro er støttet af Lokale- Og Anlægsfonden. Du kan læse mere og se billeder af projektet her: https://www.loa-fonden.dk/projekter/2006/korsgadehallen-paa-noerrebro-i-koebenhavn/";723499;6176836;32N;
Korsgadehallen;Idrætshal;Korsgade 29, 2200 København N;;korsgadehallen@kff.kk.dk;http://kulturn.kk.dk/korsgadehallen;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;Projektet Korsgadehallen på Nørrebro er støttet af Lokale- Og Anlægsfonden. Du kan læse mere og se billeder af projektet her: https://www.loa-fonden.dk/projekter/2006/korsgadehallen-paa-noerrebro-i-koebenhavn/;723499;6176836;32N;Håndboldbaner=1
Kulturhuset Indre By;Sportsbaner;Charlotte Ammundsens Plads 3, 1359 København K;;;http://kulturhusetindreby.kk.dk/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;Mindre idrætshal til bl.a. badminton og basket. Indeholder 3 badmintonbaner.;724067;6176623;32N;
Kulturhuset Pilegården;Fitness;Brønshøjvej 17, 2700 Brønshøj;;pilegaarden@kff.kk.dk;https://kulturogfritidn.kk.dk/huse/kulturhuset-pilegaarden/motionsklubben;København;Hovedstaden;Fitnesscentre;Indendørs;Kommunal;Kommunal;;719793;6178443;32N;
Kulturhuset Pilegården;Gymnastiksal;Brønshøjvej 17, 2700 Brønshøj;;pilegaarden@kff.kk.dk;https://pilegaarden.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;719793;6178443;32N;
Københavns Skyttecenter;;Selinevej 5, 2300 København S;;;http://www.kbh-skyttecenter.dk/;København;Hovedstaden;Skydeanlæg;Indendørs;Andet;Forening;25 m pistolbaner, 50 m riffel-/pistolbaner og 200 m + 300 m riffelbaner.;723703;6171257;32N;
Københavns Åbne Gymnasium;Gymnastiksal 117;Sjælør Blvd. 133, 2500 Valby;;kg@adm.kg.dk;http://www.kg.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;721685;6173351;32N;
Københavns Åbne Gymnasium;Gymnastiksal 123;Sjælør Blvd. 133, 2500 Valby;;kg@adm.kg.dk;http://www.kg.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;721685;6173351;32N;
Lersøparken;;Bisbjerg Bakke 10-12, 2400 København NV;;;https://kk.halbooking.dk;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;;722668;6179514;32N;Naturgræsbaner=3
Copenhagen Gym;;Værkstedvej 71, 2500 Valby;41 41 41 91;kontakt@copenhagengym.dk;https://www.copenhagengym.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;720616;6173032;32N;
Lundehusskolen;Gymsal 126, drenge;Lersø Parkallé 152, 2100 Kbh. Ø;33 66 41 00;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722604;6180443;32N;
Lykkebo Skole;Hallen;Vigerslevvej 141, 2500 Valby;;;https://kk.halbooking.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;Størrelse: 31 x 17 x 7 m.;719145;6173756;32N;
Lykkebo Skole;Pigegymnastiksal V07;Vigerslevvej 141, 2500 Valby;;mail@lykkeboskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;719145;6173756;32N;
Mimersparken;;Mimersparken, 2200 København N;;;;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;Etableringsår kunstgræsbane(r): 2012;722399;6178739;32N;Kunstgræsbaner=1
Nyboder Skole;Multihal;Øster Voldgade 15, 1350 København K;;mail@nyboderskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;;725394;6177473;32N;
Nørre Fælled Skole;Pigesal;Biskop Krags Vænge 7, 2100 København Ø;;mail@nfs.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723546;6179027;32N;
Nørre Fælled Skole;Drengesal;Biskop Krags Vænge 7, 2100 København Ø;;mail@nfs.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723546;6179027;32N;
Nørrebro Fysioterapi & Træningscenter;;Thorsgade 59, Gården, 2200 København N;35 81 48 00;info@noerrebrofysioterapi.dk;http://noerrebrofysioterapi.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;723009;6178110;32N;
Nørrebro Lilleskole;Lilleskole;Prinsesse Charlottes Gade 34, 2200 København N;;lilleskole@mail.dk;http://www.norrebro-lilleskole.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;723178;6177762;32N;
Nørrebro Park Skole;Drengesal;Jagtvej 34, 2200 N;;mail@nps.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722786;6177308;32N;
Nørrebro Park Skole;Pigesal;Jagtvej 34, 2200 N;;mail@nps.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722786;6177308;32N;
Nørrebro Park Skole;Tumlesal;Jagtvej 34, 2200 N;;mail@nps.kk.dk;http://nps.skoleporten.dk/sp;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722786;6177308;32N;
Nørrebrohallen;Idrætshal 1A;Nørrebrogade 208, 2200 København N;;norrebrohallen@kff.kk.dk;https://kulturn.kk.dk/noerrebrohallen;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;Hallen benyttes til badminton, basketball, håndbold, volleyball, fodbold og hockey.;722658;6178320;32N;Håndboldbaner=1
Nørrebrohallen;Bordtennislokale;Bragesgade 5, 2200 København N;;norrebrohallen@kff.kk.dk;http://kulturn.kk.dk/indhold/nørrebrohallen;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;"
";722658;6178320;32N;
Nørrebrohallen;Idrætshal 1B;Nørrebrogade 208, 2200 København N;;norrebrohallen@kff.kk.dk;https://kulturn.kk.dk/noerrebrohallen;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;Hallen benyttes til badminton, basketball, håndbold, volleyball, fodbold og hockey.;722658;6178320;32N;Håndboldbaner=1
Nørrebrohallen;Idrætshal 2;Bragesgade 5, 2200 København N;;norrebrohallen@kff.kk.dk;http://kulturn.kk.dk/indhold/nørrebrohallen;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;"445 m2.

Hallen benyttes til badminton, basketball og hockey";722658;6178320;32N;
Nørrebrohallen;Idrætshal 3A;Nørrebrogade 208, 2200 København N;;norrebrohallen@kff.kk.dk;https://kulturn.kk.dk/noerrebrohallen;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;Hallen benyttes til badminton, basketball, håndbold og volleyball.;722658;6178320;32N;Håndboldbaner=1
Nørrebrohallen;Idrætshal 3B;Bragesgade 5, 2200 København N;;norrebrohallen@kff.kk.dk;http://kulturn.kk.dk/indhold/nørrebrohallen;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;"293 m2.

Hallen benyttes til badminton og basketball.";722658;6178320;32N;
Nørrebrohallen;Kampsportslokale;Bragesgade 5, 2200 København N;;norrebrohallen@kff.kk.dk;http://kulturn.kk.dk/indhold/nørrebrohallen;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;"
";722658;6178320;32N;
Oehlenschlægersgade Skole;Gymnastiksal drenge;Oehlenschlægersgade 55-57, 1663 Kbh. V.;;mail@oeh.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723270;6174822;32N;
Oehlenschlægersgade Skole;Gymnastiksal piger;Oehlenschlægersgade 55-57, 1663 Kbh. V.;;mail@oeh.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723270;6174822;32N;
Peder Lykke Skolen;Idrætshal;Brydes Allé 25, 2300 København S;;mail@pederlykkeskolen.kk.dk;;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal; L 41 x B 21 x H 12;726248;6173590;32N;Håndboldbaner=1
Pilesvinget;;Pilesvinget 1, 2700 Brønshøj;;;https://kk.halbooking.dk;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;;719868;6179479;32N;Naturgræsbaner=1
Postens Skytteforening;;Bernstorffsgade 38A, 1577 København V;;skytten@skfposten.dk;;København;Hovedstaden;Skydeanlæg;Indendørs;Forening;Forening;6 baner af 15 meter;724474;6175084;32N;
PWR.8 STUDIO – Østerbro;Fitness center;Dampfærgevej 10 Pakhus 12, 2100 København Ø;;;https://pwh.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;725912;6178221;32N;
Prismen;Dansesalen;Holmbladsgade 71, 2300 København S;82 32 55 40;;http://prismen.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;"256 m2

---

Projektet Prismen i Holmbladsgade er støttet af Lokale- Og Anlægsfonden. Du kan læse mere og se billeder af projektet her: https://www.loa-fonden.dk/projekter/2006/prismen-i-holmbladsgade/";727096;6174861;32N;
Prismen;Kultursalen;Holmbladsgade 71, 2300 København S;82 32 55 40;;http://prismen.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;"156 m2

---

Projektet Prismen i Holmbladsgade er støttet af Lokale- Og Anlægsfonden. Du kan læse mere og se billeder af projektet her: https://www.loa-fonden.dk/projekter/2006/prismen-i-holmbladsgade/";727096;6174861;32N;
Prismen;Lokale 1;Holmbladsgade 71, 2300 København S;82 32 55 40;;http://prismen.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;"90 m2

---

Projektet Prismen i Holmbladsgade er støttet af Lokale- Og Anlægsfonden. Du kan læse mere og se billeder af projektet her: https://www.loa-fonden.dk/projekter/2006/prismen-i-holmbladsgade/";727096;6174861;32N;
Prismen;Lokale 2;Holmbladsgade 71, 2300 København S;82 32 55 40;;http://prismen.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;"90 m2

---

Projektet Prismen i Holmbladsgade er støttet af Lokale- Og Anlægsfonden. Du kan læse mere og se billeder af projektet her: https://www.loa-fonden.dk/projekter/2006/prismen-i-holmbladsgade/";727096;6174861;32N;
Prismen;Arenaen;Holmbladsgade 71, 2300 København S;82 32 55 40;;http://prismen.kk.dk;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;"40 x 20 m.

---

Projektet Prismen i Holmbladsgade er støttet af Lokale- Og Anlægsfonden. Du kan læse mere og se billeder af projektet her: https://www.loa-fonden.dk/projekter/2006/prismen-i-holmbladsgade/


";727096;6174861;32N;Håndboldbaner=1
Prøvehallen;Rytmisk sal;Porcelænstorvet 4, 2500 Valby;;valbykulturhus@kff.kk.dk;http://kultursyd.kk.dk/proevehallen;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720743;6174341;32N;
Prøvehallen;Multisal;Porcelænstorvet 4, 2500 Valby;;valbykulturhus@kff.kk.dk;http://kultursyd.kk.dk/proevehallen;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720743;6174341;32N;
Prøvehallen;Idrætssal;Porcelænstorvet 4, 2500 Valby;;valbykulturhus@kff.kk.dk;http://kultursyd.kk.dk/proevehallen;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;550 m2 ;720743;6174341;32N;
Remisen;Idrætshal 1;Blegdamsvej 132, 2100 København;;halbookingsvh@kff.kk.dk;https://kulturogfritidoe.kk.dk/remisen;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;;724753;6178343;32N;
Remisen;Idrætshal 2;Blegdamsvej 132, 2100 København;;halbookingsvh@kff.kk.dk;https://kulturogfritidoe.kk.dk/remisen;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;;724753;6178343;32N;
Royal Golf Club;;Center Boulevard 4, 2300 København S;72 40 60 90;reception@royalgolf.dk;http://royalgolf.dk/;København;Hovedstaden;Golfanlæg;Udendørs;Privat;Privat;"
";724969;6171742;32N;Golfhuller=18
Ryparken Lille Skole;;Gartnerivej 3, 2100 København Ø;;kontor@ryp.dk;http://www.ryparkenskole.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;723464;6180804;32N;
Ryparkens Idrætsanlæg;Badmintonhallen i Ryparkens Idrætsanlæg;Lyngbyvej 110, 2100 København;;bookoesterbro@kff.kk.dk;https://kulturogfritidoe.kk.dk/ryparkens-idraetsanlaeg;København;Hovedstaden;Badmintonhaller;Indendørs;Kommunal;Kommunal;Badmintonhallen er den ældste hal i Ryparkens Idrætsanlæg. Det er de originale badmintonnetstænger fra åbningen i 1935, der står i hallen. ;723698;6180572;32N;Badmintonbaner=4
Ryparkens Idrætsanlæg;Kunstgræsbaner;Lyngbyvej 110, 2100 København;;bookoesterbro@kff.kk.dk;https://ryparkensport.kk.dk/;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;Etableringsår kunstgræsbane(r): 2006, 2010, 2010;723698;6180572;32N;Kunstgræsbaner=3
Ryparkens Idrætsanlæg;Styrketræningsrum;Lyngbyvej 110, 2100 København;;bookoesterbro@kff.kk.dk;https://ryparkensport.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723698;6180572;32N;
Ryparkens Idrætsanlæg;Fægtehal;Lyngbyvej 110, 2100 København;;bookoesterbro@kff.kk.dk;https://ryparkensport.kk.dk/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;;723698;6180572;32N;
Ryparkens Idrætsanlæg;Håndboldhal;Lyngbyvej 110, 2100 København;;bookoesterbro@kff.kk.dk;https://kulturoesterbro.kk.dk/indhold/ryparkens-idraetsanlaeg;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;;723698;6180572;32N;Håndboldbaner=1
Ryparkens Idrætsanlæg;Tennishal;Lyngbyvej 110, 2100 København;;bookoesterbro@kff.kk.dk;https://kulturoesterbro.kk.dk/artikel/faciliteter-2;København;Hovedstaden;Tennisanlæg;Indendørs;Kommunal;Kommunal;Mulighed for 4 badmintonbaner;723698;6180572;32N;Kunststofbaner=1
Rødkilde Skole;Danse/bevægelses-sal;Godthåbsvej 274, 2720 Vanløse;;mail@roed.kk.dk/;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720366;6177914;32N;
Rødkilde Skole;Redskabs-sal;Godthåbsvej 274, 2720 Vanløse;;mail@roed.kk.dk/;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720366;6177914;32N;
Rødkilde Skole;Idrætshal;Godthåbsvej 274, 2720 Vanløse;;mail@roed.kk.dk/;https://roed.aula.dk/kontakt/skolens-kontor;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;L 30 x B 15 x H 9;720366;6177914;32N;
Rådmandsgades Skole;Gymnastiksal K39;Rådmandsgade 22, 2200 København;;rmg@buf.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723043;6178295;32N;
Rådmandsgades Skole;Gymnastiksal K42;Rådmandsgade 22, 2200 København;;rmg@buf.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723043;6178295;32N;
Rådmandsgades Skole;Tumlesal K52;Rådmandsgade 22, 2200 København;;rmg@buf.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723043;6178295;32N;
Sankt Annæ Gymnasium;Idrætshal;Sjælør Boulevard 135, 2500 Valby;;sag@sag.dk;https://kk.halbooking.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Selvejende institution;Selvejende institution;;721795;6173443;32N;
Sankt Annæ Gymnasium;Svømmehal;Sjælør Boulevard 135, 2500 Valby;;sag@sag.dk;https://foreningsportalen.kk.brnd.com;København;Hovedstaden;Svømmeanlæg;Indendørs;Selvejende institution;Selvejende institution;25 m. bassin med 4 baner;721795;6173443;32N;Svømmebassiner 25 m=1
Sankt Annæ Skole;;Otto Ruds Vej 7, 2300 København S;;info@sktannaeskole.dk;http://sanktannaeskole.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;726919;6173455;32N;
Sankt Petri Skole;Gymnastiksal;Larslejsstræde 5, 1451 København K;;kontor@adm.sanktpetriskole.dk;http://sanktpetriskole.dk/Default.aspx?AreaID=2;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;724413;6176215;32N;
Sjællands Privatskole;;Nattergalevej 32, 2400 København Nv;;sps@spsnet.dk;http://www.spsnet.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;721858;6178180;32N;
Skolen i Sydhavn;Sansesal;Støberigade 1, 2450 København SV;;skolenisydhavnen@buf.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723557;6172935;32N;
Skolen i Sydhavn;Idrætshal;Støberigade 3, 2450 København SV;;skolenisydhavnen@buf.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;;723557;6172935;32N;
Skolen På Amagerbro;Gym 23;Lybækgade 20, 2300 København S;;spa@buf.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726973;6174494;32N;
Skolen På Amagerbro;Gym 25;Lybækgade 20, 2300 København S;;spa@buf.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726973;6174494;32N;
Skolen på Islands Brygge;Gymnastiksal 23;Artillerivej 57, 2300 København S;;mail@sib.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;725365;6174387;32N;
Skolen på Islands Brygge;Hallen;Artillerivej 57, 2300 København S;;mail@sib.kk.dk;;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;;725365;6174387;32N;Håndboldbaner=1
Skolen på Kastelsvej;Gammel sal H027;Kastelsvej 58, 2100 København Ø;;mail@langelinieskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;725412;6178098;32N;
Skolen på Kastelsvej;Ny sal H028;Kastelsvej 58, 2100 København Ø;;mail@langelinieskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;725412;6178098;32N;
Skolen ved Sundet;Pigesal 41;Samosvej 50, 2300 København;;mail@svs.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;728229;6173435;32N;
Skolen ved Sundet;Tumlesal 40;Samosvej 50, 2300 København;;mail@svs.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;728229;6173435;32N;
Skolen ved Sundet;Drengesal 42;Samosvej 50, 2300 København;;mail@svs.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;728229;6173435;32N;
Sortedamskolen;Gymnastiksal 1;Sortedam Dossering 97, 2100 København Ø;;mail@sortedamskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;724785;6178243;32N;
Sparta Hallen;;Gunnar Nu Hansens Plads 11, 2100 København Ø;;sparta@sparta.dk;http://sparta.dk/;København;Hovedstaden;Atletikanlæg;Indendørs;Forening;Forening;"60 m kunststofbane med 6 baner

Andre faciliteter til: højdespring, længdespring og stangspring";724523;6179005;32N;Indendørs atletikanlæg=1
Sporting Health Club;SHC, Gothersgade;Gothersgade 14, 2. sal, 1123 København K;;gothersgade@sportinghealthclub.dk;https://sportinghealthclub.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;725300;6176515;32N;
Strandvejsskolen;Gymnastiksal 1;Sionsgade 1, 2100 København Ø;;mail@strandvejsskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;724833;6179751;32N;
Strandvejsskolen;Gymnastiksal 2, Ny sal;Sionsgade 1, 2100 København Ø;;mail@strandvejsskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;724833;6179751;32N;
Sundby Bad;;Sundbyvestervej 50, 2300 København S;;Sundby_Bad@kff.kk.dk;https://svoemkbh.kk.dk/indhold/sundby-bad, https://foreningsportalen.kk.brnd.com;København;Hovedstaden;Svømmeanlæg;Indendørs;Kommunal;Kommunal;"25 m. bassin med 6 baner

Andre svømmebassiner: undervisnings/legebassin";726633;6172616;32N;Svømmebassiner 25 m=1,Andre svømmebassiner=1
